name,Overall Rating
Radamel Falcao García Zarate ,85
Karim Benzema ,85
Francesc Fàbregas i Soler ,85
Franck Ribéry ,85
Vincent Kompany ,85
Fernando Luiz Rosa ,85
Képler Laveran Lima Ferreira ,85
Kylian Mbappé ,84
Eric Bailly ,84
Marco Asensio Willemsen ,84
Bernardo Mota Carvalho e Silva ,84
Nabil Fekir ,84
Alisson Ramses Becker ,84
Joshua Kimmich ,84
Niklas Süle ,84
Dele Alli ,84
Fábio Henrique Tavares ,84
Sadio Mané ,84
Saúl Ñíguez Esclápez ,84
Marcos Aoás Corrêa ,84
Samuel Umtiti ,84
Daniel Carvajal Ramos ,84
Riyad Mahrez ,84
Virgil van Dijk ,84
Julian Draxler ,84
Álvaro Borja Morata Martín ,84
Timo Horn ,84
Heung Min Son ,84
Anthony Lopes ,84
Stefan de Vrij ,84
Mattia Perin ,84
Alexandre Lacazette ,84
Henrikh Mkhitaryan ,84
Iago Aspas Juncal ,84
Danijel Subašić ,84
Kamil Glik ,84
Douglas Costa de Souza ,84
Daniel Parejo Muñoz ,84
Kyle Walker ,84
Wojciech Szczęsny ,84
Yacine Brahimi ,84
Ángel Di María ,84
Willian Borges da Silva ,84
David Luiz Moreira Marinho ,84
Sami Khedira ,84
Sergio Asenjo Andrés ,84
Javier Martínez Aginaga ,84
Dimitri Payet ,84
Jonas Gonçalves Oliveira ,84
Claudio Marchisio ,84
Ronaldo Aparecido Rodrigues ,84
Stéphane Ruffier ,84
Moussa Dembélé ,84
Alejandro Gómez ,84
Andrea Barzagli ,84
Aritz Aduriz Zubeldia ,84
Petr Čech ,84
Ousmane Dembélé ,83
Gabriel Fernando de Jesus ,83
Sergej Milinković-Savić ,83
Naby Keïta ,83
José María Giménez ,83
Thomas Lemar ,83
Aymeric Laporte ,83
Timo Werner ,83
Anthony Martial ,83
Leon Goretzka ,83
Quincy Promes ,83
William Silva de Carvalho ,83
Florian Thauvin ,83
Danilo Luís Hélio Pereira ,83
Víctor Machín Pérez ,83
Luis Miguel Afonso Fernandes ,83
Oliver Baumann ,83
Juan Cuadrado ,83
Mario Götze ,83
Shkodran Mustafi ,83
Ander Herrera Agüera ,83
Javier Pastore ,83
Lukáš Hrádecký ,83
Kevin Strootman ,83
Pedro Rodríguez Ledesma ,83
Shinji Kagawa ,83
Bas Dost ,83
Oscar dos Santos Emboaba ,83
José Paulo Bezerra M. Júnior ,83
Steven N'Zonzi ,83
Mario Balotelli ,83
Aaron Ramsey ,83
José María Callejón Bueno ,83
Giuliano Victor de Paula ,83
Mario Mandžukić ,83
Federico Fazio ,83
Benedikt Höwedes ,83
Ralf Fährmann ,83
Éver Banega ,83
Juan Manuel Mata García ,83
Rui Pedro dos Santos Patrício ,83
Lars Bender ,83
Łukasz Piszczek ,83
Ezequiel Garay ,83
Emiliano Viviano ,83
Antonio Valencia ,83
Laurent Koscielny ,83
Raúl Albiol Tortajada ,83
Daniel Alves da Silva ,83
Javier Mascherano ,83
Rune Almenning Jarstein ,83
Daniele De Rossi ,83
José Manuel Reina Páez ,83
Ricardo Andrade Quaresma Bernardo ,83
Gianluigi Donnarumma ,82
Leon Bailey ,82
Gelson Dany Batalha Martins ,82
Malcom Filipe Silva de Oliveira ,82
Davinson Sánchez ,82
Corentin Tolisso ,82
Jean Michaël Seri ,82
Gerónimo Rulli ,82
Andreas Christensen ,82
Kingsley Coman ,82
Jonathan Tah ,82
Alex Nicolao Telles ,82
Federico Bernardeschi ,82
Bruno Miguel Borges Fernandes ,82
Julian Brandt ,82
André Filipe Tavares Gomes ,82
Adrien Rabiot ,82
Jamie Vardy ,82
Lucas Vázquez Iglesias ,82
Andrea Belotti ,82
Emil Forsberg ,82
Felipe Augusto de Almeida Monteiro ,82
Carlos Bacca ,82
Mateo Kovačić ,82
Kepa Arrizabalaga ,82
Manuel Trigueros Muñoz ,82
Luiz Frello Filho Jorge ,82
Stefan Savić ,82
Iñigo Martínez Berridi ,82
Alessandro Florenzi ,82
Thorgan Hazard ,82
Simone Zaza ,82
Jesús Joaquín Fernández Sáez ,82
Lucas Rodrigues M. Silva ,82
Sergio Roberto Carnicer ,82
Granit Xhaka ,82
Wilfried Zaha ,82
Joel Matip ,82
Kevin Kampl ,82
Willian José da Silva ,82
Idrissa Gueye ,82
Víctor Ruiz Torre ,82
Xherdan Shaqiri ,82
Marcos Alonso Mendoza ,82
Giacomo Bonaventura ,82
Taison Barcellos Freda ,82
Marlos Romero Bonfim ,82
Ömer Toprak ,82
Luiz Gustavo Dias ,82
Adrien S. Perruchet Silva ,82
Sebastian Giovinco ,82
Bruno Soriano Llido ,82
Max Kruse ,82
Ljubomir Fejsa ,82
Vedran Ćorluka ,82
Georginio Wijnaldum ,82
Adam Lallana ,82
Olivier Giroud ,82
Branislav Ivanović ,82
Antonio Adán Garrido ,82
Yann Sommer ,82
Axel Witsel ,82
Kévin Gameiro ,82
Lucas Pezzini Leiva ,82
Gary Cahill ,82
Steve Mandanda ,82
Kasper Schmeichel ,82
Andrea Consigli ,82
João Filipe Moutinho ,82
Borja Valero Iglesias ,82
Lucas Biglia ,82
Juan Francisco Torres Belén ,82
Diego López Rodríguez ,82
David Villa Sánchez ,82
Iker Casillas Fernández ,82
Milan Škriniar ,81
Marcus Rashford ,81
Nélson Cabral Semedo ,81
Pau López Sabata ,81
Andrej Kramarić ,81
Iñaki Williams Arthuer ,81
Daniel García Carrillo ,81
Keita Baldé ,81
João Mário Naval Costa Eduardo ,81
Anderson Souza Conceição ,81
Daniele Rugani ,81
Morgan Sanson ,81
Ricardo D. Barbosa Pereira ,81
Frederico R. de Paula Santos ,81
Hakim Ziyech ,81
Sead Kolašinac ,81
Jesse Lingard ,81
Franco Vázquez ,81
Sergio Rico González ,81
Ben Davies ,81
Antonio Rüdiger ,81
Matija Nastasić ,81
Marcel Sabitzer ,81
Michy Batshuayi ,81
Jack Butland ,81
Karim Bellarabi ,81
Memphis Depay ,81
Gerard Deulofeu Lázaro ,81
Thomas Meunier ,81
Eric Dier ,81
Felipe Anderson Pereira Gomes ,81
Geoffrey Kondogbia ,81
Rafael Alcântara ,81
Gabriel Armando de Abreu ,81
José Ignacio Fernández Iglesias ,81
Josip Iličić ,81
Kevin Volland ,81
Jasper Cillessen ,81
Allan Marques Loureiro ,81
Francesco Acerbi ,81
Wissam Ben Yedder ,81
Alex Oxlade-Chamberlain ,81
Luis Alberto Romero Alconchel ,81
Rodrigo Moreno Machado ,81
Marc Bartra Aregall ,81
Serge Aurier ,81
Sebastián Coates ,81
Simone Verdi ,81
Andriy Yarmolenko ,81
Norberto Murara Neto ,81
Daniel Didavi ,81
Younès Belhanda ,81
Gary Medel ,81
Mário Figueira Fernandes ,81
Jesús Corona ,81
Stephan El Shaarawy ,81
Asier Illarramendi ,81
Nathaniel Clyne ,81
Chris Smalling ,81
Vicente Iborra de la Fuente ,81
Jack Wilshere ,81
Sebastian Rudy ,81
Roman Bürki ,81
Manuel Lanzini ,81
Victor Wanyama ,81
Ryad Boudebouz ,81
Ignacio Camacho Barnola ,81
Fedor Smolov ,81
Lars Stindl ,81
Aleksandar Kolarov ,81
Gylfi Sigurðsson ,81
Marko Arnautović ,81
Diego Perotti ,81
Jordan Henderson ,81
Marco Parolo ,81
Adil Rami ,81
Fernando Muslera ,81
Marcelo Antônio Guedes Filho ,81
Séamus Coleman ,81
Beñat Etxebarria Urkiaga ,81
Mathieu Valbuena ,81
Kevin-Prince Boateng ,81
Iván Marcano Sierra ,81
Antonio Candreva ,81
Domenico Criscito ,81
Davide Astori ,81
Daniel Wass ,81
Andrés Guardado ,81
Daniel Sturridge ,81
Danny Rose ,81
Carlos Vela ,81
Martin Škrtel ,81
Tom Heaton ,81
Loïc Perrin ,81
Manuel H. Tavares Fernandes ,81
André-Pierre Gignac ,81
Mario Gómez ,81
Gabriel Fernández Arenas ,81
Raffael Caetano de Araújo ,81
Arda Turan ,81
Luís Carlos Almeida da Cunha ,81
Bastian Schweinsteiger ,81
Rubén Castro Martín ,81
Jérémy Mathieu ,81
Samuel Eto'o ,81
Jiří Pavlenka ,80
Onyinye Ndidi ,80
Presnel Kimpembe ,80
Gonçalo Manuel Ganchinho Guedes ,80
Marcos Acuña ,80
Julian Weigl ,80
Mariano Díaz Mejía ,80
Raúl Michel Melo da Silva ,80
Yerry Mina ,80
Clément Lenglet ,80
Tiémoué Bakayoko ,80
Marcelo Brozović ,80
Jemerson de Jesus Nascimento ,80
Ángel Correa ,80
Kerem Demirbay ,80
Armindo Tué Na Bangna ,80
Elseid Hysaj ,80
Samuel Castillejo Azuaga ,80
Alessio Romagnoli ,80
Piotr Zieliński ,80
Alejandro Grimaldo García ,80
Thomas Partey ,80
Raphaël Guerreiro ,80
Jonas Hector ,80
Emre Can ,80
Abdoulaye Doucouré ,80
Hakan Çalhanoğlu ,80
Gerard Moreno Balagueró ,80
Michael Keane ,80
Leandro Paredes ,80
Alassane Pléa ,80
Taras Stepanenko ,80
Leonardo Carrilho Baptistão ,80
Edin Višća ,80
Bernard Anício Caldeira Duarte ,80
Denis Suárez Fernández ,80
Jordan Pickford ,80
Willi Orban ,80
Roque Mesa Quevedo ,80
John Brooks ,80
Christoph Kramer ,80
Šime Vrsaljko ,80
Loris Karius ,80
Héctor Bellerín Moruno ,80
John Stones ,80
Davy Klaassen ,80
Jannik Vestergaard ,80
Salif Sané ,80
Marcos Rojo ,80
Faouzi Ghoulam ,80
Jeison Murillo ,80
Benjamin Lecomte ,80
Mark Uth ,80
Pablo Hernández ,80
Marco van Ginkel ,80
Lucas Pérez Martínez ,80
Ross Barkley ,80
Luis Muriel ,80
Vincent Aboubakar ,80
Charles Aránguiz ,80
Pablo Sarabia García ,80
Josuha Guilavogui ,80
Daniel Caligiuri ,80
Oğuzhan Özyakup ,80
Yaroslav Rakitskyi ,80
Dejan Lovren ,80
Phil Jones ,80
Hugo Mallo Novegil ,80
Ricardo Rodríguez ,80
Alphonse Areola ,80
Cenk Tosun ,80
Koen Casteels ,80
Mario Gaspar Pérez Martínez ,80
Kevin Vogt ,80
Alexandr Kokorin ,80
Maicon Pereira Roque ,80
Eduardo Salvio ,80
Daley Blind ,80
Jeroen Zoet ,80
Adem Ljajić ,80
Iago Falqué Silva ,80
Oscar De Marcos Arana ,80
Ben Mee ,80
Markel Susaeta Laskurain ,80
Francis Coquelin ,80
Kevin Trapp ,80
Nicolas Nkoulou ,80
Alan Dzagoev ,80
Mateo Musacchio ,80
Kieran Trippier ,80
Danny Drinkwater ,80
Ibrahima Traoré ,80
Pablo Piatti ,80
Orestis Karnezis ,80
Mamadou Sakho ,80
Sidnei Rechel da Silva Júnior ,80
Stevan Jovetić ,80
Eder Citadin Martins ,80
Fabricio Agosto Ramírez ,80
Francisco Casilla Cortés ,80
Ignacio Monreal Eraso ,80
Sven Bender ,80
Morgan Schneiderlin ,80
Marcus Berg ,80
Pontus Wernbloom ,80
Ignacio Piatti ,80
Valter Birsa ,80
Pedro León Sánchez Gil ,80
Claudio Bravo ,80
Simon Mignolet ,80
Sergio Romero ,80
Victor Moses ,80
Asmir Begović ,80
Diego Valeri ,80
Raúl García Escudero ,80
Erik Lamela ,80
Renato Augusto ,80
Jardel Nivaldo Vieira ,80
Salvatore Sirigu ,80
Gonzalo Castro ,80
Gustavo Cabral ,80
Ştefan Radu ,80
Łukasz Fabiański ,80
Lassana Diarra ,80
Leighton Baines ,80
Fabio Quagliarella ,80
Bafétimbi Gomis ,80
Dante Bonfim Costa Santos ,80
Salomon Kalou ,80
Benoît Costil ,80
Andreas Granqvist ,80
Héctor Herrera ,80
Igor Akinfeev ,80
Igor Denisov ,80
Santiago Cazorla González ,80
Xabier Prieto Argarate ,80
Fernando Belluschi ,80
Gonzalo Rodríguez ,80
Antonio Mirante ,80
Ricardo Izecson dos Santos Leite ,80
James Milner ,80
Atiba Hutchinson ,80
Miguel Ángel Moyá Rumbo ,80
Stephan Lichtsteiner ,80
Wayne Rooney ,80
Fernando José Torres Sanz ,80
Stefano Sorrentino ,80
Yaya Touré ,80
Matthijs de Ligt ,79
Raphael Dias Belloli ,79
Miguel Almirón ,79
Mikel Oyarzabal Ugarte ,79
Andrey Lunev ,79
Christian Pulisic ,79
Moussa Marega ,79
Alexandr Golovin ,79
Martín Campaña ,79
Florin Andone ,79
Karl Toko-Ekambi ,79
Franco Cervi ,79
Hirving Lozano ,79
Lucas Hernández ,79
Mattia Caldara ,79
Matias Vecino ,79
Antonio Sanabria ,79
Diego Carlos Santos Silva ,79
Mahmoud Dahoud ,79
Islam Slimani ,79
Rafael A. Ferreira Silva ,79
José Luis Morales Nogales ,79
Matteo Politano ,79
Youri Tielemans ,79
Andrew Robertson ,79
Davide Zappacosta ,79
Darío Benedetto ,79
Iván Marcone ,79
Nabil Bentaleb ,79
Stanislav Kritsyuk ,79
Marcos Paulo Mesquita Lopes ,79
Thomas Strakosha ,79
Max Meyer ,79
José Luís Gayà Peña ,79
Nicolás Tagliafico ,79
João Pedro Cavaco Cancelo ,79
Óliver Torres Muñoz ,79
Andreas Hugo Hoelgebaum Pereira ,79
Adnan Januzaj ,79
Bertrand Traoré ,79
Josef Martínez ,79
Matthias Ginter ,79
Maximilian Arnold ,79
Oleg Shatov ,79
Serge Gnabry ,79
Daniele Baselli ,79
Arkadiusz Milik ,79
Benjamin Mendy ,79
José Luís Mendes Andrade ,79
Valère Germain ,79
Harry Maguire ,79
Álvaro González Soberón ,79
James Tarkowski ,79
Sergi Darder Moll ,79
Fernando Lucas Martins ,79
Diego Demme ,79
Layvin Kurzawa ,79
Gastón Ramírez ,79
David López Silva ,79
Ciprian Tătăruşanu ,79
Vladimír Darida ,79
Milan Badelj ,79
Djibril Sidibé ,79
Yevhen Konoplyanka ,79
Lucas Digne ,79
Francisco Alcácer García ,79
Emre Çolak ,79
José Gómez Campaña ,79
Manuel Agudo Durán ,79
Dušan Tadić ,79
Danilo Luiz da Silva ,79
Domagoj Vida ,79
Grzegorz Krychowiak ,79
Enzo Pérez ,79
Sergi Enrich Ametller ,79
Germán Pezzella ,79
Guido Burgstaller ,79
Jaume Vicent Costa Jordá ,79
Iago Herrerín Buisán ,79
André Schürrle ,79
Roberto Pereyra ,79
Sergio Escudero Palomo ,79
Yunus Mallı ,79
Juraj Kucka ,79
Michail Antonio ,79
Marwin Hitz ,79
Iker Muniain Goñi ,79
Ander Iturraspe Derteano ,79
Benjamin Hübner ,79
Josef de Souza Dias ,79
Daniel Filipe Martins Carriço ,79
Gustavo Bou ,79
Marcel Schmelzer ,79
Volkan Babacan ,79
Senad Lulić ,79
Christian Noboa ,79
Igor Smolnikov ,79
Yann M'Vila ,79
Kwadwo Asamoah ,79
Keisuke Honda ,79
Sven Ulreich ,79
Cristhian Stuani ,79
Marco Fabián ,79
Ron-Robert Zieler ,79
Danny Welbeck ,79
Nikola Kalinić ,79
Mikel San José Domínguez ,79
Péter Gulácsi ,79
Mariano Ferreira Filho ,79
Sofiane Feghouli ,79
Fernando Reges ,79
Christian Benteke ,79
Sandro Wagner ,79
Gabriel Mercado ,79
Fabian Delph ,79
Nordin Amrabat ,79
Vitorino Pacheco Antunes ,79
Jeremain Lens ,79
Javier Hernández ,79
Serdar Tasci ,79
Marouane Fellaini ,79
Zlatko Junuzović ,79
Héctor Moreno ,79
Cristian Ansaldi ,79
David Zurutuza ,79
Kevin Mirallas ,79
Fábio Alexandre Silva Coentrão ,79
Steven Defour ,79
Nuri Şahin ,79
Gervais Yao Kouassi ,79
Ryan Bertrand ,79
Jonny Evans ,79
Andrea Masiello ,79
Vitaliy Denisov ,79
Theo Walcott ,79
Giuseppe Rossi ,79
Karim El Ahmadi ,79
Hatem Ben Arfa ,79
David Abraham ,79
José Manuel Jurado Marín ,79
Jefferson Farfán ,79
Ashley Young ,79
Vasiliy Berezutskiy ,79
Alexandr Samedov ,79
Javier Fuego Martínez ,79
Álvaro Negredo Sánchez ,79
Andriy Pyatov ,79
Willy Caballero ,79
Daniel Baier ,79
Burak Yılmaz ,79
René Adler ,79
Cédric Carrasso ,79
Carlos Idriss Kameni ,79
Phil Jagielka ,79
Emmanuel Adebayor ,79
Joaquín Sánchez Rodríguez ,79
Emre Belözoğlu ,79
Maximiliano Gómez ,78
David Neres Campos ,78
Carlos Soler Barragán ,78
Álvaro Odriozola Arzalluz ,78
Amine Harit ,78
Lorenzo Pellegrini ,78
Yeray Álvarez López ,78
Francisco Soares dos Santos ,78
Lucas Tousart ,78
André Onana ,78
Pablo Fornals Malla ,78
Marcos Díaz ,78
Marcos Llorente Moreno ,78
Nadiem Amiri ,78
Jesús Vallejo Lázaro ,78
Nemanja Radoja ,78
Diogo José Teixeira da Silva ,78
Rúben Diogo da Silva Neves ,78
Lucas Torreira ,78
Valentin Rongier ,78
Omar Al Soma ,78
Daniel Ceballos Fernández ,78
Victor Lindelöf ,78
Andrija Živković ,78
Enner Valencia ,78
José Izquierdo ,78
Gonzalo Escalante ,78
Giovanni Simeone ,78
Bartolomeu Quissanga ,78
Maximilian Philipp ,78
Kenny Tete ,78
Ander Capa Rodríguez ,78
Marco Sportiello ,78
Alireza Jahanbakhsh ,78
Nikola Maksimović ,78
Lucas Alario ,78
Duván Zapata ,78
Emiliano Rigoni ,78
Jean-Philippe Gbamin ,78
Franco Armani ,78
Yimmi Chará ,78
Alexandr Selikhov ,78
Diego Laxalt ,78
Roman Zobnin ,78
Diego Rolán ,78
Niklas Stark ,78
Wylan Cyprien ,78
Diego Javier Llorente Ríos ,78
Avilés Hurtado ,78
Philipp Max ,78
Roberto Gagliardini ,78
Vincenzo Grifo ,78
Pedro Miguel Martins Santos ,78
Domenico Berardi ,78
Marcel Halstenberg ,78
Jonathan Castro Otto ,78
Alexander Szymanowski ,78
Garry Mendes Rodrigues ,78
Fernando Pacheco Flores ,78
Tiago Luis Volpi ,78
Nathan Aké ,78
Filip Kostić ,78
Matheus Lima Magalhães ,78
Guido Pizarro ,78
Luciano Vietto ,78
Mitchell Weiser ,78
Luka Milivojević ,78
Luke Shaw ,78
Zouhair Feddal ,78
Sébastien Haller ,78
Lucas Castro ,78
Karim Rekik ,78
Takashi Inui ,78
Cristian Portugues Manzanera ,78
Emiliano Sala ,78
Mário Rui Silva Duarte ,78
Kurt Zouma ,78
Santiago Arias ,78
Baptiste Reynet ,78
Tomáš Vaclík ,78
Eric Fernando Botteghin ,78
Nick Pope ,78
João Natailton Ramos dos Santos ,78
Pavel Kadeřábek ,78
Jamaal Lascelles ,78
Mohamed Elyounoussi ,78
Leonardo Bittencourt ,78
Jeffrey Gouweleeuw ,78
Cristiano Piccini ,78
Jordan Veretout ,78
Aïssa Mandi ,78
Ismaily Gonçalves dos S. ,78
Cédric Ricardo Alves Soares ,78
Agustín Marchesín ,78
Riccardo Saponara ,78
Juan Guilherme Nunes Jesus ,78
Nacer Chadli ,78
Cristian Tello Herrera ,78
Steven Berghuis ,78
Hans Vanaken ,78
Matthew Lowton ,78
John Guidetti ,78
Oriol Romeu Vidal ,78
Mathew Ryan ,78
Manolo Gabbiadini ,78
Bibras Natcho ,78
Kara Mbodji ,78
Benjamin Stambouli ,78
Rogelio Funes Mori ,78
Florian Lejeune ,78
Nicolás Lodeiro ,78
Teófilo Gutiérrez ,78
Alfreð Finnbogason ,78
Tom Cairney ,78
Aaron Mooy ,78
Andros Townsend ,78
Adrián San Miguel Castillo ,78
Wahbi Khazri ,78
Martín Montoya Torralbo ,78
André Gomes Magalhães Almeida ,78
Hernán Pérez ,78
Roberto Soriano ,78
Thomas Delaney ,78
Holger Badstuber ,78
Marvin Plattenhardt ,78
Fabián Orellana ,78
Jóhann Berg Guðmundsson ,78
Celso Borges ,78
Pascal Groß ,78
Eliaquim Mangala ,78
Xabier Etxeita Gorritxat. ,78
Sergio Canales Madrazo ,78
Mikel Balenziaga ,78
Wilfried Bony ,78
Luuk de Jong ,78
Rafael Pereira da Silva ,78
Julian Baumgartlinger ,78
Víctor Vázquez Solsona ,78
Victor Sánchez Mata ,78
Bastian Oczipka ,78
Etrit Berisha ,78
Jonathas de Jesus Maurício ,78
Jonjo Shelvey ,78
Aleksandar Dragović ,78
Hugo Miguel Almeida Costa Lopes ,78
Lautaro Acosta ,78
James McCarthy ,78
Pavel Mamaev ,78
Paulo Henrique Chagas de Lima ,78
Rafael Tolói ,78
Ivan Radovanović ,78
Elías Hernández ,78
Joe Allen ,78
Romain Alessandrini ,78
Michael Lang ,78
Kyriakos Papadopoulos ,78
Matteo Darmian ,78
Lucas Pratto ,78
Romain Thomas ,78
Mehdi Carcela-González ,78
Nicolai Müller ,78
Angelo Ogbonna ,78
Roberto Jiménez Gago ,78
Nils Petersen ,78
Eric Maxim Choupo-Moting ,78
Neven Subotić ,78
Yuri Berchiche Izeta ,78
Konstantinos Mitroglou ,78
Roberto Rosales ,78
Balázs Dzsudzsák ,78
Maximiliano Pereira ,78
Martín Cáceres ,78
Marek Suchý ,78
Luiz Adriano Souza da Silva ,78
Guilherme Alvim Marinato ,78
Damien Da Silva ,78
Simon Kjær ,78
Loïc Rémy ,78
Ruud Vormer ,78
Miguel Layún ,78
Thomas Mangani ,78
Esteban Granero Molina ,78
Cristian Zapata ,78
Fabian Johnson ,78
Nahuel Guzmán ,78
André Ayew ,78
David Ospina ,78
Vadis Odjidja-Ofoe ,78
Matías Fernández ,78
Adrián López Álvarez ,78
James Tomkins ,78
Jorge Andújar Moreno ,78
Moussa Sow ,78
Bastian Oczipka ,78
Baptiste Reynet ,78
Matthew Lowton ,78
Cristiano Piccini ,78
Matías Fernández ,78
Lucas Torreira ,78
Yuri Berchiche Izeta ,78
Jeffrey Gouweleeuw ,78
Fran. Javier García Fernández ,78
Hans Vanaken ,78
Philipp Max ,78
Emiliano Rigoni ,78
Mehmet Topal ,78
Victor Lindelöf ,78
Ivan Radovanović ,78
Sergio Álvarez Conde ,78
Jamaal Lascelles ,78
Luka Milivojević ,78
Santiago Arias ,78
Alexandr Selikhov ,78
André Gomes Magalhães Almeida ,78
Anderson Luís da Silva ,78
Matheus Lima Magalhães ,78
Avilés Hurtado ,78
Marcel Halstenberg ,78
Jack Cork ,78
James Tomkins ,78
Guilherme Alvim Marinato ,78
Fabián Orellana ,78
Jonjo Shelvey ,78
Michael Bradley ,78
Ruud Vormer ,78
Giovanni Simeone ,78
Thomas Mangani ,78
Niklas Stark ,78
Jonathas de Jesus Maurício ,78
Rafael Pereira da Silva ,78
Adriano Correia Claro ,78
Lukas Podolski ,78
José Antonio Reyes Calderón ,78
Domenico Berardi ,78
Bibras Natcho ,78
Adrián López Álvarez ,78
Rogelio Funes Mori ,78
Mitchell Weiser ,78
Gonzalo Escalante ,78
Romain Alessandrini ,78
James Ward-Prowse ,77
Martin Harnik ,77
Benjamin Moukandjo ,77
Juan Miguel Jiménez López ,77
Kieran Gibbs ,77
Federico Fernández ,77
Lovre Kalinić ,77
Nicolás Blandi ,77
Aarón Martín Caricol ,77
Michael Krohn-Dehli ,77
Lisandro López ,77
Alban Lafont ,77
Ricardo Jorge da Luz Horta ,77
Seydou Doumbia ,77
Caiuby Fr. da Silva ,77
Diego Reyes ,77
Juan Bernat Velasco ,77
Kai Havertz ,77
Michael Gregoritsch ,77
Tonny Vilhena ,77
Guillaume Hoarau ,77
Sebastian Langkamp ,77
Sergio García de la Fuente ,77
Alfredo Talavera ,77
Marvelous Nakamba ,77
Jorrit Hendrix ,77
Leander Dendoncker ,77
Luís Hernández Rodríguez ,77
Sebastian Rode ,77
Raphael William Anjos Rochedo ,77
Ashley Barnes ,77
Maxime Lestienne ,77
Leonardo Pavoletti ,77
Franck Yannick Kessié ,77
Marcelo dos Santos Ferreira ,77
Alen Halilović ,77
Federico Chiesa ,77
Adam Marušić ,77
Sidney Adrián Pessoa Vidigal ,77
Alper Potuk ,77
Joaquín Correa ,77
Marcelo Díaz ,77
André Carrillo ,77
Germán Conti ,77
Benjamin Pavard ,77
Marco Andreolli ,77
Jeffrey Bruma ,77
Bruno González Cabrera ,77
Fin Bartels ,77
Raúl Jiménez ,77
Jozabed Sánchez Ruiz ,77
Pablo Pérez ,77
Gérson Adriano Gutierres Serra ,77
Ronaldo Diego Esler Domingues ,77
José Vicente Gómez Umpiérrez ,77
M'Baye Niang ,77
Oscar Wendt ,77
Dorlan Pabón ,77
Tanguy Ndombele ,77
Marcel Risse ,77
Ignacio Scocco ,77
Andy Carroll ,77
Jordi Amat Maas ,77
Charles Kaboré ,77
Gökhan Töre ,77
Wilson Bruno Naval Costa Eduardo ,77
Jorge Meré Pérez ,77
Sergio León Limones ,77
Mohamed Elneny ,77
Daniel Torres ,77
Paul-Georges Ntep ,77
Shinji Okazaki ,77
Niklas Moisander ,77
Yannis Salibur ,77
Jonathan Calleri ,77
Jay Rodriguez ,77
Jérôme Roussillon ,77
Salomón Rondón ,77
Klaas-Jan Huntelaar ,77
Léo Dubois ,77
Allan Saint-Maximin ,77
André Almeida Pinto ,77
Rodolfo Pizarro ,77
Gonzalo Martínez ,77
Onur Kıvrak ,77
Andrea Bertolacci ,77
Emanuele Giaccherini ,77
Alexandr Belenov ,77
Mario Lemina ,77
André Luís Gomes Simões ,77
Timmy Chandler ,77
Alexey Miranchuk ,77
Filip Krovinović ,77
André Miguel Valente da Silva ,77
Diego Benaglio ,77
Tomás Rincón ,77
Jürgen Locadia ,77
